invoice_id,branch,city,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,total_revenue,profit,dates,,category,avg rating,,
18,WALM061,Cedar Park,Sports and travel,72.61,6,0019-01-01,10:39:00,Credit card,6.9,0.33,435.66,143.7678,0019-01-01,,,,,
19,WALM053,Conroe,Food and beverages,54.67,3,0019-01-21,18:00:00,Credit card,8.6,0.57,164.01,93.4857,0019-01-21,,,,,
20,WALM013,Irving,Home and lifestyle,40.3,2,0019-03-11,15:30:00,Ewallet,4.4,0.48,80.6,38.688,0019-03-11,,,,,
21,WALM044,Pharr,Electronic accessories,86.04,5,0019-02-25,11:24:00,Ewallet,4.8,0.48,430.2,206.496,0019-02-25,,,,,
22,WALM088,Cleburne,Health and beauty,87.98,3,0019-03-05,10:40:00,Ewallet,5.1,0.33,263.94,87.1002,0019-03-05,,,,,
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2,0019-03-15,12:20:00,Credit card,4.4,0.33,66.4,21.912,0019-03-15,,,,,
24,WALM067,Haltom City,Electronic accessories,34.56,5,0019-02-17,11:15:00,Ewallet,9.9,0.33,172.8,57.024,0019-02-17,,,,,
25,WALM023,Midland,Sports and travel,88.63,3,0019-03-02,17:36:00,Ewallet,6,0.48,265.89,127.6272,0019-03-02,,,,,
26,WALM001,Houston,Home and lifestyle,52.59,8,0019-03-22,19:20:00,Credit card,8.5,0.36,420.72,151.4592,0019-03-22,,,,,
27,WALM072,Lancaster,Fashion accessories,33.52,1,0019-02-08,15:31:00,Cash,6.7,0.33,33.52,11.0616,0019-02-08,,,,,
28,WALM046,Temple,Fashion accessories,87.67,2,0019-03-10,12:17:00,Credit card,7.7,0.48,175.34,84.1632,0019-03-10,,,,,
29,WALM012,Garland,Food and beverages,88.36,5,0019-01-25,19:48:00,Cash,9.6,0.48,441.8,212.064,0019-01-25,,,,,
30,WALM075,San Marcos,Health and beauty,24.89,9,0019-03-15,15:36:00,Cash,7.4,0.33,224.01,73.9233,0019-03-15,,,,,
31,WALM076,Huntsville,Fashion accessories,94.13,5,0019-02-25,19:39:00,Credit card,4.8,0.33,470.65,155.3145,0019-02-25,,,,,
32,WALM098,Mineral Wells,Sports and travel,78.07,9,0019-01-28,12:43:00,Cash,4.5,0.18,702.63,126.4734,0019-01-28,,,,,
33,WALM021,McAllen,Sports and travel,83.78,8,0019-01-10,14:49:00,Cash,5.1,0.48,670.24,321.7152,0019-01-10,,,,,
34,WALM096,Eagle Pass,Health and beauty,96.58,2,0019-03-15,10:12:00,Credit card,5.1,0.18,193.16,34.7688,0019-03-15,,,,,
35,WALM022,Mesquite,Food and beverages,99.42,4,0019-02-06,10:42:00,Ewallet,7.5,0.48,397.68,190.8864,0019-02-06,,,,,
36,WALM095,Big Spring,Sports and travel,68.12,1,0019-01-07,12:28:00,Ewallet,6.8,0.33,68.12,22.4796,0019-01-07,,,,,
37,WALM041,Mission,Sports and travel,62.62,5,0019-03-10,19:15:00,Ewallet,7,0.48,313.1,150.288,0019-03-10,,,,,
38,WALM070,Hurst,Electronic accessories,60.88,9,0019-01-15,17:17:00,Ewallet,4.7,0.33,547.92,180.8136,0019-01-15,,,,,
39,WALM070,Hurst,Health and beauty,54.92,8,0019-03-23,13:24:00,Ewallet,7.6,0.33,439.36,144.9888,0019-03-23,,,,,
40,WALM030,Richardson,Home and lifestyle,30.12,8,0019-03-03,13:01:00,Cash,7.7,0.48,240.96,115.6608,0019-03-03,,,,,
41,WALM033,Pearland,Home and lifestyle,86.72,1,0019-01-17,18:45:00,Ewallet,7.9,0.48,86.72,41.6256,0019-01-17,,,,,
42,WALM088,Cleburne,Home and lifestyle,56.11,2,0019-02-02,10:11:00,Cash,6.3,0.33,112.22,37.0326,0019-02-02,,,,,
43,WALM079,La Porte,Sports and travel,69.12,6,0019-02-08,13:03:00,Cash,5.6,0.33,414.72,136.8576,0019-02-08,,,,,
44,WALM042,Bryan,Food and beverages,98.7,8,0019-03-04,20:39:00,Cash,7.6,0.48,789.6,379.008,0019-03-04,,,,,
45,WALM036,Allen,Health and beauty,15.37,2,0019-03-16,19:47:00,Cash,7.2,0.48,30.74,14.7552,0019-03-16,,,,,
46,WALM056,Rowlett,Electronic accessories,93.96,4,0019-03-09,18:00:00,Cash,9.5,0.33,375.84,124.0272,0019-03-09,,,,,
47,WALM058,Port Arthur,Health and beauty,56.69,9,0019-02-27,17:24:00,Credit card,8.4,0.33,510.21,168.3693,0019-02-27,,,,,
48,WALM015,Grand Prairie,Food and beverages,20.01,9,0019-02-06,15:47:00,Ewallet,4.1,0.48,180.09,86.4432,0019-02-06,,,,,
49,WALM063,Georgetown,Electronic accessories,18.93,6,0019-02-10,12:45:00,Credit card,8.1,0.33,113.58,37.4814,0019-02-10,,,,,
50,WALM021,McAllen,Fashion accessories,82.63,10,0019-03-19,17:08:00,Ewallet,7.9,0.48,826.3,396.624,0019-03-19,,,,,
51,WALM089,Southlake,Food and beverages,91.4,7,0019-02-03,10:19:00,Cash,9.5,0.33,639.8,211.134,0019-02-03,,,,,
52,WALM093,Angleton,Food and beverages,44.59,5,0019-02-10,15:10:00,Cash,8.5,0.33,222.95,73.5735,0019-02-10,,,,,
53,WALM041,Mission,Fashion accessories,17.87,4,0019-03-22,14:42:00,Ewallet,6.5,0.48,71.48,34.3104,0019-03-22,,,,,
54,WALM045,Missouri City,Fashion accessories,15.43,1,0019-01-25,15:46:00,Credit card,6.1,0.48,15.43,7.4064,0019-01-25,,,,,
55,WALM005,Fort Worth,Home and lifestyle,16.16,2,0019-03-07,11:49:00,Ewallet,6.5,0.48,32.32,15.5136,0019-03-07,,,,,
56,WALM042,Bryan,Electronic accessories,85.98,8,0019-02-28,19:01:00,Cash,8.2,0.48,687.84,330.1632,0019-02-28,,,,,
57,WALM003,San Antonio,Home and lifestyle,44.34,2,0019-03-27,11:26:00,Cash,5.8,0.36,88.68,31.9248,0019-03-27,,,,,
58,WALM070,Hurst,Health and beauty,89.6,8,0019-02-07,11:28:00,Ewallet,6.6,0.33,716.8,236.544,0019-02-07,,,,,
59,WALM066,Grapevine,Home and lifestyle,72.35,10,0019-01-20,15:55:00,Cash,5.4,0.33,723.5,238.755,0019-01-20,,,,,
60,WALM031,Lewisville,Electronic accessories,30.61,6,0019-03-12,20:36:00,Cash,9.3,0.48,183.66,88.1568,0019-03-12,,,,,
61,WALM042,Bryan,Sports and travel,24.74,3,0019-02-15,17:47:00,Credit card,10,0.48,74.22,35.6256,0019-02-15,,,,,
62,WALM078,Del Rio,Home and lifestyle,55.73,6,0019-02-24,10:55:00,Ewallet,7,0.33,334.38,110.3454,0019-02-24,,,,,
63,WALM037,League City,Sports and travel,55.07,9,0019-02-03,13:40:00,Ewallet,10,0.48,495.63,237.9024,0019-02-03,,,,,
64,WALM069,Rockwall,Sports and travel,15.81,10,0019-03-06,12:27:00,Credit card,8.6,0.33,158.1,52.173,0019-03-06,,,,,
65,WALM087,Waxahachie,Health and beauty,75.74,4,0019-02-14,14:35:00,Cash,7.6,0.33,302.96,99.9768,0019-02-14,,,,,
66,WALM042,Bryan,Health and beauty,15.87,10,0019-03-13,16:40:00,Cash,5.8,0.48,158.7,76.176,0019-03-13,,,,,
67,WALM020,Killeen,Health and beauty,33.47,2,0019-02-10,15:43:00,Ewallet,6.7,0.48,66.94,32.1312,0019-02-10,,,,,
68,WALM029,Round Rock,Fashion accessories,97.61,6,0019-01-07,15:01:00,Ewallet,9.9,0.48,585.66,281.1168,0019-01-07,,,,,
69,WALM079,La Porte,Sports and travel,78.77,10,0019-01-24,10:04:00,Cash,6.4,0.33,787.7,259.941,0019-01-24,,,,,
70,WALM035,San Angelo,Health and beauty,18.33,1,0019-02-02,18:50:00,Cash,4.3,0.48,18.33,8.7984,0019-02-02,,,,,
71,WALM007,Arlington,Food and beverages,89.48,10,0019-01-06,12:46:00,Credit card,9.6,0.48,894.8,429.504,0019-01-06,,,,,
72,WALM017,McKinney,Fashion accessories,62.12,10,0019-02-11,16:19:00,Cash,5.9,0.48,621.2,298.176,0019-02-11,,,,,
73,WALM096,Eagle Pass,Food and beverages,48.52,3,0019-03-05,18:17:00,Ewallet,4,0.18,145.56,26.2008,0019-03-05,,,,,
74,WALM083,Farmers Branch,Electronic accessories,75.91,6,0019-03-09,18:21:00,Cash,8.7,0.33,455.46,150.3018,0019-03-09,,,,,
75,WALM072,Lancaster,Home and lifestyle,74.67,9,0019-01-22,10:55:00,Ewallet,9.4,0.33,672.03,221.7699,0019-01-22,,,,,
76,WALM003,San Antonio,Electronic accessories,41.65,10,0019-01-13,17:04:00,Credit card,5.4,0.48,416.5,199.92,0019-01-13,,,,,
77,WALM058,Port Arthur,Fashion accessories,49.04,9,0019-01-09,14:20:00,Credit card,8.6,0.33,441.36,145.6488,0019-01-09,,,,,
78,WALM094,Alamo,Fashion accessories,20.01,9,0019-01-12,15:48:00,Credit card,5.7,0.33,180.09,59.4297,0019-01-12,,,,,
79,WALM063,Georgetown,Food and beverages,78.31,10,0019-03-05,16:24:00,Ewallet,6.6,0.33,783.1,258.423,0019-03-05,,,,,
80,WALM071,Lufkin,Health and beauty,20.38,5,0019-01-22,18:56:00,Cash,6,0.33,101.9,33.627,0019-01-22,,,,,
81,WALM061,Cedar Park,Health and beauty,99.19,6,0019-01-21,14:42:00,Credit card,5.5,0.33,595.14,196.3962,0019-01-21,,,,,
82,WALM090,Brownwood,Food and beverages,96.68,3,0019-01-26,19:56:00,Ewallet,6.4,0.33,290.04,95.7132,0019-01-26,,,,,
83,WALM061,Cedar Park,Food and beverages,19.25,8,0019-01-23,18:37:00,Ewallet,6.6,0.33,154,50.82,0019-01-23,,,,,
84,WALM041,Mission,Food and beverages,80.36,4,0019-02-23,18:45:00,Ewallet,8.3,0.48,321.44,154.2912,0019-02-23,,,,,
85,WALM097,Alice,Sports and travel,48.91,5,0019-03-09,10:17:00,Cash,6.6,0.18,244.55,44.019,0019-03-09,,,,,
86,WALM043,Baytown,Sports and travel,83.06,7,0019-03-05,14:31:00,Ewallet,4,0.48,581.42,279.0816,0019-03-05,,,,,
87,WALM042,Bryan,Fashion accessories,76.52,5,0019-03-25,10:23:00,Cash,9.9,0.48,382.6,183.648,0019-03-25,,,,,
88,WALM046,Temple,Food and beverages,49.38,7,0019-03-27,20:35:00,Credit card,7.3,0.48,345.66,165.9168,0019-03-27,,,,,
89,WALM011,Lubbock,Sports and travel,42.47,1,0019-01-02,16:57:00,Cash,5.7,0.48,42.47,20.3856,0019-01-02,,,,,
90,WALM064,Bedford,Health and beauty,76.99,6,0019-02-27,17:55:00,Cash,6.1,0.33,461.94,152.4402,0019-02-27,,,,,
91,WALM095,Big Spring,Home and lifestyle,47.38,4,0019-01-23,10:25:00,Cash,7.1,0.33,189.52,62.5416,0019-01-23,,,,,
92,WALM049,North Richland Hills,Sports and travel,44.86,10,0019-01-26,19:54:00,Ewallet,8.2,0.48,448.6,215.328,0019-01-26,,,,,
93,WALM040,Edinburg,Sports and travel,21.98,7,0019-01-10,16:42:00,Ewallet,5.1,0.48,153.86,73.8528,0019-01-10,,,,,
94,WALM065,Texas City,Health and beauty,64.36,9,0019-03-12,12:09:00,Credit card,8.6,0.33,579.24,191.1492,0019-03-12,,,,,
95,WALM075,San Marcos,Health and beauty,89.75,1,0019-02-06,20:05:00,Credit card,6.6,0.33,89.75,29.6175,0019-02-06,,,,,
96,WALM034,College Station,Electronic accessories,97.16,1,0019-03-08,20:38:00,Ewallet,7.2,0.48,97.16,46.6368,0019-03-08,,,,,
97,WALM014,Amarillo,Health and beauty,87.87,10,0019-03-29,10:25:00,Ewallet,5.1,0.48,878.7,421.776,0019-03-29,,,,,
98,WALM096,Eagle Pass,Electronic accessories,12.45,6,0019-02-09,13:11:00,Cash,4.1,0.18,74.7,13.446,0019-02-09,,,,,
99,WALM004,Austin,Food and beverages,52.75,3,0019-03-23,10:16:00,Ewallet,9.3,0.48,158.25,75.96,0019-03-23,,,,,
100,WALM011,Lubbock,Home and lifestyle,82.7,6,0019-03-05,18:14:00,Cash,7.4,0.48,496.2,238.176,0019-03-05,,,,,
101,WALM075,San Marcos,Fashion accessories,48.71,1,0019-03-26,19:20:00,Cash,4.1,0.33,48.71,16.0743,0019-03-26,,,,,
102,WALM057,Euless,Fashion accessories,78.55,9,0019-03-01,13:22:00,Cash,7.2,0.33,706.95,233.2935,0019-03-01,,,,,
103,WALM023,Midland,Electronic accessories,23.07,9,0019-02-01,11:27:00,Cash,4.9,0.48,207.63,99.6624,0019-02-01,,,,,
104,WALM012,Garland,Food and beverages,58.26,6,0019-03-28,16:44:00,Cash,9.9,0.48,349.56,167.7888,0019-03-28,,,,,
105,WALM078,Del Rio,Health and beauty,30.35,7,0019-03-19,18:19:00,Cash,8,0.33,212.45,70.1085,0019-03-19,,,,,
106,WALM055,Waxahachie,Electronic accessories,88.67,10,0019-01-12,14:50:00,Ewallet,7.3,0.33,886.7,292.611,0019-01-12,,,,,
107,WALM038,Sugar Land,Fashion accessories,27.38,6,0019-01-05,20:54:00,Credit card,7.9,0.48,164.28,78.8544,0019-01-05,,,,,
108,WALM049,North Richland Hills,Sports and travel,62.13,6,0019-03-22,20:19:00,Cash,7.4,0.48,372.78,178.9344,0019-03-22,,,,,
109,WALM044,Pharr,Food and beverages,33.98,9,0019-03-24,10:43:00,Cash,4.2,0.48,305.82,146.7936,0019-03-24,,,,,
110,WALM056,Rowlett,Electronic accessories,81.97,10,0019-03-03,14:30:00,Cash,9.2,0.33,819.7,270.501,0019-03-03,,,,,
111,WALM007,Arlington,Sports and travel,16.49,2,0019-02-05,11:32:00,Ewallet,4.6,0.48,32.98,15.8304,0019-02-05,,,,,
112,WALM025,Waco,Health and beauty,98.21,3,0019-02-05,10:41:00,Credit card,7.8,0.48,294.63,141.4224,0019-02-05,,,,,
113,WALM005,Fort Worth,Fashion accessories,72.84,7,0019-02-15,12:44:00,Cash,8.4,0.48,509.88,244.7424,0019-02-15,,,,,
114,WALM024,Carrollton,Home and lifestyle,58.07,9,0019-01-19,20:07:00,Ewallet,4.3,0.48,522.63,250.8624,0019-01-19,,,,,
115,WALM003,San Antonio,Home and lifestyle,80.79,9,0019-02-01,20:31:00,Credit card,9.5,0.36,727.11,261.7596,0019-02-01,,,,,
116,WALM087,Waxahachie,Fashion accessories,27.02,3,0019-03-02,13:01:00,Credit card,7.1,0.33,81.06,26.7498,0019-03-02,,,,,
117,WALM040,Edinburg,Fashion accessories,21.94,5,0019-03-05,12:29:00,Ewallet,5.3,0.48,109.7,52.656,0019-03-05,,,,,
118,WALM071,Lufkin,Fashion accessories,51.36,1,0019-01-16,15:26:00,Ewallet,5.2,0.33,51.36,16.9488,0019-01-16,,,,,
119,WALM027,Abilene,Food and beverages,10.96,10,0019-02-02,20:48:00,Ewallet,6,0.48,109.6,52.608,0019-02-02,,,,,
120,WALM071,Lufkin,Home and lifestyle,53.44,2,0019-01-20,20:38:00,Ewallet,4.1,0.33,106.88,35.2704,0019-01-20,,,,,
121,WALM014,Amarillo,Electronic accessories,99.56,8,0019-02-14,17:03:00,Credit card,5.2,0.48,796.48,382.3104,0019-02-14,,,,,
122,WALM069,Rockwall,Sports and travel,57.12,7,0019-01-12,12:02:00,Credit card,6.5,0.33,399.84,131.9472,0019-01-12,,,,,
123,WALM085,Kerrville,Sports and travel,99.96,9,0019-03-09,17:26:00,Credit card,4.2,0.33,899.64,296.8812,0019-03-09,,,,,
124,WALM061,Cedar Park,Home and lifestyle,63.91,8,0019-03-13,19:52:00,Credit card,4.6,0.33,511.28,168.7224,0019-03-13,,,,,
125,WALM088,Cleburne,Fashion accessories,56.47,8,0019-03-09,14:57:00,Ewallet,7.3,0.33,451.76,149.0808,0019-03-09,,,,,
126,WALM034,College Station,Home and lifestyle,93.69,7,0019-03-10,18:44:00,Credit card,4.5,0.48,655.83,314.7984,0019-03-10,,,,,
127,WALM016,Brownsville,Sports and travel,32.25,5,0019-01-27,13:26:00,Cash,9,0.48,161.25,77.4,0019-01-27,,,,,
128,WALM044,Pharr,Fashion accessories,31.73,9,0019-01-08,16:17:00,Credit card,5.9,0.48,285.57,137.0736,0019-01-08,,,,,
129,WALM035,San Angelo,Food and beverages,68.54,8,0019-01-08,15:57:00,Ewallet,8.5,0.48,548.32,263.1936,0019-01-08,,,,,
130,WALM018,Frisco,Sports and travel,90.28,9,0019-02-08,11:15:00,Ewallet,7.2,0.48,812.52,390.0096,0019-02-08,,,,,
131,WALM022,Mesquite,Fashion accessories,39.62,7,0019-01-25,13:18:00,Cash,7.5,0.48,277.34,133.1232,0019-01-25,,,,,
132,WALM068,Burleson,Sports and travel,92.13,6,0019-03-06,20:34:00,Cash,8.3,0.33,552.78,182.4174,0019-03-06,,,,,
133,WALM055,Waxahachie,Sports and travel,34.84,4,0019-02-10,18:36:00,Cash,7.4,0.33,139.36,45.9888,0019-02-10,,,,,
134,WALM002,Dallas,Electronic accessories,87.45,6,0019-02-17,14:40:00,Credit card,8.8,0.36,524.7,188.892,0019-02-17,,,,,
135,WALM062,Galveston,Health and beauty,81.3,6,0019-03-08,16:43:00,Ewallet,5.3,0.33,487.8,160.974,0019-03-08,,,,,
136,WALM098,Mineral Wells,Fashion accessories,90.22,3,0019-02-18,19:39:00,Cash,6.2,0.18,270.66,48.7188,0019-02-18,,,,,
137,WALM027,Abilene,Electronic accessories,26.31,5,0019-01-18,20:59:00,Credit card,8.8,0.48,131.55,63.144,0019-01-18,,,,,
138,WALM093,Angleton,Home and lifestyle,34.42,6,0019-02-18,15:39:00,Cash,9.8,0.33,206.52,68.1516,0019-02-18,,,,,
139,WALM029,Round Rock,Sports and travel,51.91,10,0019-02-16,12:21:00,Cash,8.2,0.48,519.1,249.168,0019-02-16,,,,,
140,WALM016,Brownsville,Sports and travel,72.5,8,0019-03-16,19:25:00,Ewallet,9.2,0.48,580,278.4,0019-03-16,,,,,
141,WALM023,Midland,Sports and travel,89.8,10,0019-01-23,13:00:00,Credit card,5.4,0.48,898,431.04,0019-01-23,,,,,
142,WALM012,Garland,Health and beauty,90.5,10,0019-01-25,13:48:00,Cash,8.1,0.48,905,434.4,0019-01-25,,,,,
143,WALM052,Mansfield,Health and beauty,68.6,10,0019-02-05,19:57:00,Cash,9.1,0.57,686,391.02,0019-02-05,,,,,
144,WALM097,Alice,Food and beverages,30.41,1,0019-02-22,10:36:00,Credit card,8.4,0.18,30.41,5.4738,0019-02-22,,,,,
145,WALM045,Missouri City,Home and lifestyle,77.95,6,0019-01-21,16:37:00,Credit card,8,0.48,467.7,224.496,0019-01-21,,,,,
146,WALM047,Flower Mound,Health and beauty,46.26,6,0019-03-08,17:11:00,Credit card,9.5,0.48,277.56,133.2288,0019-03-08,,,,,
147,WALM026,Denton,Fashion accessories,30.14,10,0019-02-10,12:28:00,Ewallet,9.2,0.48,301.4,144.672,0019-02-10,,,,,
148,WALM054,Sherman,Health and beauty,66.14,4,0019-03-19,12:46:00,Credit card,5.6,0.21,264.56,55.5576,0019-03-19,,,,,
149,WALM049,North Richland Hills,Home and lifestyle,71.86,8,0019-03-06,15:07:00,Credit card,6.2,0.48,574.88,275.9424,0019-03-06,,,,,
150,WALM065,Texas City,Health and beauty,32.46,8,0019-03-27,13:48:00,Credit card,4.9,0.33,259.68,85.6944,0019-03-27,,,,,
151,WALM016,Brownsville,Fashion accessories,91.54,4,0019-03-23,19:20:00,Credit card,4.8,0.48,366.16,175.7568,0019-03-23,,,,,
152,WALM070,Hurst,Sports and travel,34.56,7,0019-03-11,16:07:00,Credit card,7.3,0.33,241.92,79.8336,0019-03-11,,,,,
153,WALM099,Weatherford,Fashion accessories,83.24,9,0019-01-29,11:56:00,Credit card,7.4,0.18,749.16,134.8488,0019-01-29,,,,,
154,WALM071,Lufkin,Food and beverages,16.48,6,0019-02-07,18:23:00,Ewallet,9.9,0.33,98.88,32.6304,0019-02-07,,,,,
155,WALM078,Del Rio,Sports and travel,80.97,8,0019-01-28,13:05:00,Cash,9.3,0.33,647.76,213.7608,0019-01-28,,,,,
156,WALM074,Weslaco,Food and beverages,92.29,5,0019-02-20,15:55:00,Cash,9,0.33,461.45,152.2785,0019-02-20,,,,,
157,WALM042,Bryan,Electronic accessories,72.17,1,0019-01-04,19:40:00,Cash,6.1,0.48,72.17,34.6416,0019-01-04,,,,,
158,WALM013,Irving,Home and lifestyle,50.28,5,0019-03-07,13:58:00,Ewallet,9.7,0.48,251.4,120.672,0019-03-07,,,,,
159,WALM100,Canyon,Health and beauty,97.22,9,0019-03-30,14:43:00,Ewallet,6,0.18,874.98,157.4964,0019-03-30,,,,,
160,WALM094,Alamo,Sports and travel,93.39,6,0019-03-27,19:18:00,Ewallet,10,0.33,560.34,184.9122,0019-03-27,,,,,
161,WALM028,Odessa,Food and beverages,43.18,8,0019-01-19,19:39:00,Credit card,8.3,0.48,345.44,165.8112,0019-01-19,,,,,
162,WALM019,Pasadena,Sports and travel,63.69,1,0019-02-25,16:21:00,Cash,6,0.48,63.69,30.5712,0019-02-25,,,,,
163,WALM011,Lubbock,Food and beverages,45.79,7,0019-03-13,19:44:00,Credit card,7,0.48,320.53,153.8544,0019-03-13,,,,,
164,WALM084,Schertz,Sports and travel,76.4,2,0019-01-30,19:42:00,Ewallet,6.5,0.33,152.8,50.424,0019-01-30,,,,,
165,WALM057,Euless,Food and beverages,39.9,10,0019-02-20,15:24:00,Credit card,5.9,0.33,399,131.67,0019-02-20,,,,,
166,WALM088,Cleburne,Health and beauty,42.57,8,0019-02-25,14:12:00,Ewallet,5.6,0.33,340.56,112.3848,0019-02-25,,,,,
167,WALM061,Cedar Park,Home and lifestyle,95.58,10,0019-01-16,13:32:00,Cash,4.8,0.33,955.8,315.414,0019-01-16,,,,,
168,WALM040,Edinburg,Fashion accessories,98.98,10,0019-02-08,16:20:00,Credit card,8.7,0.48,989.8,475.104,0019-02-08,,,,,
169,WALM069,Rockwall,Food and beverages,51.28,6,0019-01-19,16:31:00,Cash,6.5,0.33,307.68,101.5344,0019-01-19,,,,,
170,WALM089,Southlake,Sports and travel,69.52,7,0019-02-01,15:10:00,Credit card,8.5,0.33,486.64,160.5912,0019-02-01,,,,,
171,WALM031,Lewisville,Health and beauty,70.01,5,0019-01-03,11:36:00,Ewallet,5.5,0.48,350.05,168.024,0019-01-03,,,,,
172,WALM039,Longview,Food and beverages,80.05,5,0019-01-26,12:45:00,Credit card,9.4,0.48,400.25,192.12,0019-01-26,,,,,
173,WALM039,Longview,Electronic accessories,20.85,8,0019-03-03,19:17:00,Cash,6.3,0.48,166.8,80.064,0019-03-03,,,,,
174,WALM047,Flower Mound,Electronic accessories,52.89,6,0019-01-19,17:34:00,Credit card,9.8,0.48,317.34,152.3232,0019-01-19,,,,,
175,WALM071,Lufkin,Food and beverages,19.79,8,0019-01-18,12:04:00,Ewallet,8.7,0.33,158.32,52.2456,0019-01-18,,,,,
176,WALM060,DeSoto,Home and lifestyle,33.84,9,0019-03-21,16:21:00,Ewallet,8.8,0.33,304.56,100.5048,0019-03-21,,,,,
177,WALM073,Seguin,Food and beverages,22.17,8,0019-03-03,17:01:00,Credit card,9.6,0.33,177.36,58.5288,0019-03-03,,,,,
178,WALM059,Pflugerville,Fashion accessories,22.51,7,0019-02-13,10:50:00,Credit card,4.8,0.33,157.57,51.9981,0019-02-13,,,,,
179,WALM012,Garland,Food and beverages,73.88,6,0019-03-23,19:16:00,Ewallet,4.4,0.48,443.28,212.7744,0019-03-23,,,,,
180,WALM086,Rosenberg,Health and beauty,86.8,3,0019-01-28,16:47:00,Ewallet,9.9,0.33,260.4,85.932,0019-01-28,,,,,
181,WALM073,Seguin,Fashion accessories,64.26,7,0019-02-09,10:00:00,Cash,5.7,0.33,449.82,148.4406,0019-02-09,,,,,
182,WALM028,Odessa,Food and beverages,38.47,8,0019-01-23,11:51:00,Cash,7.7,0.48,307.76,147.7248,0019-01-23,,,,,
183,WALM053,Conroe,Sports and travel,15.5,10,0019-03-23,10:55:00,Ewallet,8,0.57,155,88.35,0019-03-23,,,,,
184,WALM024,Carrollton,Health and beauty,34.31,8,0019-01-25,15:00:00,Ewallet,5.7,0.48,274.48,131.7504,0019-01-25,,,,,
185,WALM097,Alice,Sports and travel,12.34,7,0019-03-04,11:19:00,Credit card,6.7,0.18,86.38,15.5484,0019-03-04,,,,,
186,WALM072,Lancaster,Food and beverages,18.08,3,0019-03-05,19:46:00,Ewallet,8,0.33,54.24,17.8992,0019-03-05,,,,,
187,WALM023,Midland,Home and lifestyle,94.49,8,0019-03-03,19:00:00,Ewallet,7.5,0.48,755.92,362.8416,0019-03-03,,,,,
188,WALM038,Sugar Land,Home and lifestyle,46.47,4,0019-02-08,10:53:00,Cash,7,0.48,185.88,89.2224,0019-02-08,,,,,
189,WALM078,Del Rio,Home and lifestyle,74.07,1,0019-02-10,12:50:00,Ewallet,9.9,0.33,74.07,24.4431,0019-02-10,,,,,
190,WALM084,Schertz,Home and lifestyle,69.81,4,0019-01-28,20:50:00,Credit card,5.9,0.33,279.24,92.1492,0019-01-28,,,,,
